task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
77	5a/979652	10518627	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONANNOTATION (LIVER_RNA_SMA_2_S2_L001)	COMPLETED	0	2023-08-27 05:12:48.433	15m 43s	15m 15s	100.3%	108.1 MB	353.9 MB	15.6 GB	101.9 MB
33	89/c90ee0	10513468	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (LIVER_RNA_SMA_1_S1_L001)	COMPLETED	0	2023-08-26 22:41:27.254	6h 50m 4s	6h 49m 55s	39.3%	5.1 GB	7.7 GB	84.3 GB	54.3 GB
73	26/6a846a	10518628	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_BAMSTAT (LIVER_RNA_SMA_2_S2_L001)	COMPLETED	0	2023-08-27 05:12:48.609	19m 7s	18m 20s	99.9%	34.6 MB	273 MB	15.6 GB	1.2 KB
74	65/9c5efe	10518629	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONSATURATION (LIVER_RNA_SMA_2_S2_L001)	COMPLETED	0	2023-08-27 05:12:50.315	21m 56s	21m 8s	99.6%	4.5 GB	5 GB	15.6 GB	16.9 KB
80	32/8b6c3d	10518785	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (LIVER_RNA_SMA_1_S1_L001)	COMPLETED	0	2023-08-27 05:31:32.166	4m 5s	3m 50s	151.0%	97 MB	255.9 MB	16.9 GB	7.6 MB
35	82/d98c42	10513743	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (LIVER_RNA_HET_1_S4_L001)	COMPLETED	0	2023-08-26 23:01:17.789	6h 35m 4s	6h 34m 51s	40.7%	5.1 GB	7.7 GB	88.9 GB	58.8 GB
75	e4/eabc9f	10518633	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_READDISTRIBUTION (LIVER_RNA_SMA_2_S2_L001)	COMPLETED	0	2023-08-27 05:12:51.095	24m 35s	23m 49s	99.9%	907.8 MB	1.1 GB	15.7 GB	1.6 KB
61	f5/c8d29b	10518572	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_READDUPLICATION (P7_LIVER_RNA_SMA_3_S3_L001)	FAILED	137	2023-08-27 05:01:32.567	41m 55s	38m 4s	-	-	-	-	-
82	e1/16b490	10518808	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (LIVER_RNA_HET_1_S4_L001)	COMPLETED	0	2023-08-27 05:36:23.803	7m 34s	3m 59s	147.0%	109 MB	269.3 MB	18.3 GB	7.6 MB
85	4d/d2c892	10518861	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (P7_LIVER_RNA_SMA_3_S3_L001)	COMPLETED	0	2023-08-27 05:44:03.615	8.9s	2s	6.8%	14.1 MB	23.4 MB	6.8 MB	6.4 KB
88	3a/5952b7	10518863	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (LIVER_RNA_SMA_2_S2_L001)	COMPLETED	0	2023-08-27 05:44:06.024	6.8s	0ms	31.3%	1.6 MB	5.4 MB	6.9 MB	6.4 KB
94	01/bf0f38	10518864	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (P7_LIVER_RNA_HET_3_S6_L001)	COMPLETED	0	2023-08-27 05:44:08.347	10.1s	2s	4.6%	14.8 MB	24.1 MB	7.5 MB	6.4 KB
102	10/dc18f2	10518867	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (LIVER_RNA_HET_1_S4_L001)	COMPLETED	0	2023-08-27 05:44:13.489	8.8s	1s	34.9%	1.6 MB	5.4 MB	7.8 MB	6.4 KB
100	a7/bdcabc	10518868	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (LIVER_RNA_SMA_1_S1_L001)	COMPLETED	0	2023-08-27 05:44:13.611	8.7s	1s	32.2%	3 MB	12.1 MB	7.7 MB	6.4 KB
91	74/59d14d	10518873	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (LIVER_RNA_HET_2_S5_L001)	COMPLETED	0	2023-08-27 05:44:21.044	6.5s	0ms	14.2%	2.5 MB	11.8 MB	7 MB	6.4 KB
69	ac/2ad7ff	10518592	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV (LIVER_RNA_SMA_2_S2_L001)	COMPLETED	0	2023-08-27 05:04:59.297	40m 48s	40m 25s	107.0%	1.2 MB	11 MB	33.8 GB	5.2 GB
103	2e/1f641d	10518876	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDCLIP (LIVER_RNA_SMA_2_S2_L001)	COMPLETED	0	2023-08-27 05:45:48.716	2m 5s	22s	93.3%	4.4 MB	18.5 MB	1.3 GB	1.3 GB
104	df/54e1a7	10518877	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDCLIP (LIVER_RNA_SMA_2_S2_L001)	COMPLETED	0	2023-08-27 05:45:48.904	2m 5s	22s	97.2%	4.4 MB	18.5 MB	1.3 GB	1.3 GB
56	46/923aa3	10518518	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV (P7_LIVER_RNA_SMA_3_S3_L001)	COMPLETED	0	2023-08-27 04:57:02.761	51m 35s	50m 45s	109.9%	22.1 GB	26.9 GB	35.1 GB	6.3 GB
87	67/d1dcfb	10518862	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (P7_LIVER_RNA_SMA_3_S3_L001)	COMPLETED	0	2023-08-27 05:44:05.858	4m 34s	4m 30s	97.6%	3.5 MB	209.9 MB	14.7 GB	5.5 KB
90	be/8a7a33	10518871	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (LIVER_RNA_SMA_2_S2_L001)	COMPLETED	0	2023-08-27 05:44:18.489	4m 34s	4m 28s	97.5%	3.4 MB	209.9 MB	14.3 GB	5.5 KB
92	3a/a7289a	10518866	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (LIVER_RNA_HET_2_S5_L001)	COMPLETED	0	2023-08-27 05:44:13.400	5m 12s	5m	98.1%	3.5 MB	209.9 MB	16.2 GB	5.5 KB
101	77/350ff7	10518856	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (LIVER_RNA_HET_1_S4_L001)	COMPLETED	0	2023-08-27 05:44:00.495	5m 37s	5m 29s	98.0%	3.5 MB	209.9 MB	18.3 GB	5.5 KB
97	57/a2e4ec	10518869	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (LIVER_RNA_SMA_1_S1_L001)	COMPLETED	0	2023-08-27 05:44:15.999	5m 27s	5m 21s	98.1%	3.4 MB	209.9 MB	16.9 GB	5.5 KB
